Job,Score
Software Developer,1865
Computer & Information Systems Manager,1864
Computer Systems Analyst,1863
Mechanical Engineer,1862
Sr. User Experience Designer,1861
Welder,1860
Computer and Information Systems Managers,1859
Residential Advisors,1858
"Computer Software Engineers, Applications",1857
Pharmacist,1856
"Meat, Poultry, and Fish Cutters and Trimmers",1855
computer and information systems manager,1854
Sales Manager,1853
"Electronics Engineers, Except Computer",1852
Operations Research Analysts,1851
Financial Analysts,1850
Database Administrators,1849
Chefs and Head Cooks,1848
Chemistry Teacher,1847
Research Scientist,1846
"Electronics Engineer, Except Computers",1845
"Education Administrator, Elementary School",1844
Computer Systems Analysts,1843
"Comp Software Engineers, Apps (Prev 15-1132)",1842
Family and General Practitioners,1841
COMPUTER SYSTEMS ANALYST,1840
Compliance Officers,1839
Credit Analysts,1838
Product Marketing Manager,1837
Office Clerk,1836
Management Analyst,1835
"Computer Software Engineer, Application",1834
Operations Research Analyst,1833
Sales Engineers,1832
Software Engineer,1831
First-Line Supervisors/Managers of Retail Sales Workers,1830
Software Developer (15-1133),1829
Engineer,1828
HAIR STYLIST,1827
"Information Security Analysts, Web Developers, and computer network architect",1826
MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS,1825
"Economics Teachers, Postsecondary",1824
Senior Applications Engineer,1823
Accountants and Auditors,1822
"HELPERS-BRICKMASONS, BLOCKMASONS, Stonemason, TILE & MARBLE SETTERS",1820
Java Developer,1819
Dairy Barn Manager,1818
BOOKKEEPER,1817
Biochemists and Biophysicists,1816
Electronics Engineers,1815
Computer Software Engineer,1814
Graphic Designers,1813
computer programmers,1812
Occupational Therapist,1811
Computer System Analysts,1810
"Personal Care and Service Workers,All Other",1809
"Computer Specialists, All Other",1808
Stonemason,1807
First-Line Supervisors/Manager of Construction Trades and Extraction,1806
Transportation Street Supervisor,1805
MARKET RESEARCH ANALYSTS,1804
Software Developer*,1803
"Education Administrators, Elementary and Secondary School",1802
Marketing Managers,1801
Computer Support Specialists,1800
Multi-Media Artists and Animators,1799
Electrical Engineers,1798
Construction Managers,1797
Food Service Managers,1796
Software Developer (15-1132),1795
Senior Computer Systems Analyst,1794
Database Administrators <15-1141>,1793
"Computer Software Engineers, Systems Software",1792
Lawyers,1791
"Software Developer, Applications",1790
Industrial Engineers,1789
"Software Developer/Computer Software Engineers, Applications",1788
Choreographer,1787
Restaurant Cook,1786
Chief Executives,1785
computer systems analyst,1784
CABINETMAKER,1783
"COOKS, RESTAURANT",1782
"COMPUTER Software EngineerS, APPLICATIONS",1781
NETWORK AND COMPUTER SYSTEM ADMINISTRATORS,1780
DESIGNER,1779
Medical and Clinical Laboratory Technologists,1778
FURNITURE FINISHER,1777
Superintendent,1776
Special Assistant to VP Academic Affairs/Grantsmanship Officer,1775
NANNY/CHILD CARE GIVER,1774
Market Research Analysts & Marketing Specialists,1773
"Bookkeeping, Accounting, and Auditing Clerks",1772
"Software Developers, Sys. Software [15-1133]",1771
Civil Engineers,1770
Computer Hardware Engineer,1769
Computer Systems Analysts*,1768
"Special Education Teachers, Middle School",1767
Senior Computer Programmer,1766
Network and Computer Systems Administrator,1765
"Software Developers, Application",1764
Dental Laboratory Technicians,1763
Recreational Therapists,1762
System Administrator,1761
COMPUTER PROGRAMMERS,1760
Management Analysts,1759
"Middle School Teachers, Except Special and Vocational Education",1758
Distribution Warehouse Supervisor,1757
Network and Computer Systems Administrators,1756
Animal Scientists,1755
High School English Teacher,1754
Special Education Tecaher,1753
"Cook, Restaurant",1752
LANDSCAPING WORKER,1751
HOME HEALTH AIDES,1750
Assistant Professor,1749
Economists,1748
Bilingual Teacher,1747
Market Research Analysts and Marketing Specialists,1746
Computer Software Engineers,1745
Caregiver,1744
Construction Laborer,1743
Computer and Information System Managers,1742
Technical Architecture Consultant,1741
Cook,1740
Computer Systems Analysts (15-1121),1739
Cement Mason,1738
Environmental Engineer,1737
Fashion Designers,1736
Cabinet Maker,1735
Automotive Service Technicians and Mechanics,1734
"Electronics Engineers, Except Computers",1733
"EDUCATION ADMINISTRATORS, ELEMENTARY AND SECONDARY SCHOOL",1732
Preschool Teacher,1731
Computer Programmers,1730
Mason,1729
Industrial Production Managers,1728
"Dentists, General",1727
"Computer Softare Engineers, Systems Software",1726
Commerical and Industrial Designers,1725
Poultry Processor,1724
"Special Education Teachers,Preschool,Kindergarten and Elementary",1723
Butcher,1722
"Maintenance and Repair Workers, General",1721
Agricultural Equipment Operator,1720
Fabric and Apparel Patternmakers,1719
"Forestry and Conservation Science Teachers, Postsecondary",1718
Senior Software (.Net) Developer,1717
Marketing Manager,1716
Financial Managers,1715
"Internists, General",1714
Project Manager Engineer,1713
Computer Hardware Engineers,1712
Systems Analyst in Risk Management,1711
Operations Analyst in Risk Management,1710
"PHYSICIANS AND SURGEONS, ALL OTHER",1709
Insurance Underwriters,1708
Rehabilitation Counselors,1707
Commercial and Industrial Designers,1706
Statistical Analyst,1705
"Foreign Language & Lit. Teachers, Postsecondary",1704
Architectural and Engineering Managers,1703
MECHANICAL ENGINEERS,1702
Attorney: Corporate Finance,1701
Video Game Developer,1700
"Geoscientists, Except Hydrologists and Geographers",1699
Psychiatrist,1698
Aerospace Engineers,1697
Computer and Information Systems Manager,1696
Business Analyst,1695
Food Scientists & Technologists,1694
MARKETING MANAGER,1693
Medical Technologist,1692
Chemical Engineers,1691
"Business Teachers, Postsecondary",1690
Fodd Scientists and Technologists,1689
Architectural and Engineering Manager,1688
Electronics Engineer,1687
Purchasing Managers,1686
Research Analyst,1685
Associate Veterinarian,1684
SENIOR AUDITOR,1683
"Director, Financial Analysis",1682
Pharmacist-in-Charge,1681
GRAPHIC DESIGNERS,1680
Software Developer APPLICATIONS,1679
Automation Engineer,1678
"History Teachers, Postsecondary",1677
Software Developers Systems,1676
Programmer Analyst,1675
Systems Analyst,1674
Assistant Professor of Anthropology,1673
Pastor,1672
Antenna Design Engineer,1671
"HR, Training, & Labor Relations Specialists, All Other",1670
"Physics Teachers, Postsecondary",1669
Computer Programmer,1668
Chemists,1667
System Engineer III,1666
Physicists,1665
"Mechanical Engineers, R&D",1664
"Director, Regulatory Compliance / Associate General Counsel",1663
Speech-Language Pathologist,1662
Chef/head cook,1661
"Secondary School Teachers, Except Special and Career/Technical Education",1660
Database Administrator,1659
"Directors, Religious Activities and Education",1658
SPEECH PATHOLOGIST,1657
Information Security Analyst,1656
Accountants,1655
JEWELER,1654
First-Line Supervisors of Construction Trades and Extraction Workers,1653
Market Research Analysis and Marketing Specialists,1652
Spanish Swim Instructor,1651
TRANSMISSION REPAIR HELPER,1650
"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",1649
CEMENT MASON AND CONCRETE FINISHSER,1648
Arborist,1647
ACCOUNTING CLERK,1646
FINANCIAL ANALYSTS,1645
Technical Translations Coordinator,1644
Procurement Clerk,1643
Butchers and Meat Cutters,1642
Environmental Egineers,1641
Mechanical Engineers,1640
General and Operations Managers,1639
Packaging & Filing Machine Operators & Tenders,1638
Asian Research Analyst,1637
Instructional Coordinators,1636
"Tailors, Dressmakers, and Custom Sewers",1635
"Computer Science Teachers, Postsecondary",1634
DATABASE ADMINISTRATORS,1633
First-Line Supervisors/Managers of Food Preparation and Serving,1632
Marine Engineers and Naval Architects,1631
Biomedical Engineers,1630
First Line Supervisor,1629
Medical and Clinical Laboratory Technologist,1628
Administrative Assistant,1627
Packaging Designer,1626
"Education Administrators, Elem & Sec.",1625
Purchasing Manager,1624
Natural Sciences Managers,1623
COMPUTER SYSTEMS ANALYSTS,1622
Market Research Analysts and Marketing Specialists*,1621
Housekeeper,1620
Statisticians,1619
"Electrical Engineers, Except Computer",1618
PROFESSOR OF KOREAN LITERATURE,1617
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1616
Health Diagnosing and Treating Practitioners,1615
PUBLIC RELATIONS SPECIALIST,1614
Chemist,1613
"Foreign Language & Literature Teachers, Postsecondary",1612
Lead Security Management Specialist,1611
Network and Computer Systems Administrators*,1610
Internist / Assistant Professor,1609
